Area,Bedrooms,Age,Price
1726,3,20,8810733
2059,2,5,12279073
1460,3,2,7373342
1894,2,27,12841252
1730,2,8,8154752
1695,2,4,10587773
1644,1,23,8874722
721,2,28,4283066
1066,1,16,5822701
1838,3,13,10251888
930,2,20,6207037
2082,2,2,13150546
687,4,27,3572919
1996,2,0,9979927
1723,2,19,9881541
1471,3,28,10116792
730,2,20,5137474
1932,1,22,13484581
1369,2,0,7011989
943,2,2,5715000
2115,4,17,12389144
2037,3,24,12779795
1405,3,9,6750828
985,3,21,6554153
1815,3,25,11562815
1555,2,2,9759669
876,3,7,6129975
1784,2,13,11021580
1059,3,23,5900132
1937,3,17,11218938
621,2,14,3190302
852,2,21,4033485
1347,2,22,8595724
1456,2,1,9725720
2184,3,26,10763792
1074,3,9,5894787
1682,1,1,11340388
1110,2,25,6054392
2099,2,16,12896646
1299,2,7,8522370
1575,2,0,10909963
789,2,8,4737811
1557,4,10,8467494
1286,2,21,7846472
1557,2,15,9157590
1162,3,6,7064081
2190,2,28,12274313
1867,4,9,10213169
1431,4,22,7033947
2128,2,25,14862935
1754,2,2,7778497
2108,2,17,13103340
1246,2,24,6506013
620,1,23,3890177
1440,3,12,6454587
766,2,27,4164323
1897,1,25,11783292
987,2,6,4999888
1200,4,24,5442587
915,2,3,4644133
613,2,12,3359676
841,2,19,5098325
1376,4,0,8344995
1969,2,7,9491887
1164,3,13,6064069
1497,3,15,7930909
1963,2,13,12715256
691,3,11,4797545
1990,2,18,11305208
1555,3,22,9559592
2078,3,14,11347825
2051,2,27,11456059
1108,1,1,7243288
1375,3,1,8334657
634,2,22,2841245
805,2,21,4791042
1704,1,18,11549516
2185,2,24,14978269
2011,3,25,10659270
1625,1,29,10121032
1621,2,28,9246306
2013,2,21,13233390
1165,3,25,6055960
1729,2,25,11189501
2100,3,21,11004956
1302,2,16,7605194
1001,4,19,4701911
1329,2,9,6769955
2179,2,5,14479308
761,2,14,4569232
801,4,21,3963821
1595,3,10,11065056
869,2,27,3904453
1415,3,4,6603352
1894,3,0,12054163
1055,2,7,5439165
2085,2,20,11148502
1875,2,27,11126203
1616,1,11,7572202
895,3,11,4953298
1319,4,4,6565189
937,3,6,5565960
1478,2,3,8455987
1676,2,5,9459936
1391,3,12,9164066
816,3,19,4611886
1363,3,29,7974967
787,3,14,5266119
979,3,2,5004205
1092,1,22,6251259
1664,2,7,9497488
1780,3,19,9304132
614,3,15,3066962
664,1,12,3426932
1120,2,17,6142725
1967,3,27,12027400
1752,1,9,9831756
1247,2,29,7787190
2095,2,18,12008313
1686,3,16,11325106
1762,3,23,10497052
2122,2,18,11936283
1192,3,27,7162953
991,2,25,6501218
1018,2,22,5996538
888,3,25,6298200
978,3,4,5725347
2113,3,25,12548594
830,3,20,5391556
1617,2,29,9602940
640,1,22,3021309
1651,2,8,10204332
734,2,11,3777228
800,2,20,3749415
1379,4,0,8201759
1529,2,25,8538688
1656,3,25,10313699
1671,3,0,10482321
1102,3,14,7891782
1006,2,1,5815863
2197,2,29,14739747
1404,2,21,6306237
698,2,15,3750740
1283,3,24,8080897
1325,2,7,5975971
2170,1,12,9975371
1560,3,20,7952885
1212,2,0,6502743
2085,4,15,11881039
1242,4,28,6857519
